,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,title,variety,winery
28414,28414,Italy,"Delicate scents of white flower and apricot lead the nose. The bright, round palate doles out ripe peach, pear and a hint of hazelnut that lead to a fresh finish.",Parvo,88,18.0,Piedmont,Roero,,San Silvestro 2015 Parvo  (Roero),Arneis,San Silvestro
614,614,Italy,"The dynamic sisters that run this estate deliver a clean and territory-driven line of white wines. This easy Soave Classico opens with peach, pear, citrus and a touch of fragrant honeysuckle flower. It's pure and focused overall.",,87,19.0,Veneto,Soave Classico,,Suavia 2011  Soave Classico,Garganega,Suavia
127,127,France,"Attractive mid-gold color with intense aromas of ripe citrus and stone fruit, strong minerality and hints of spice. Racy with crisp acidity, juicy, rich and smooth texture with lots of concentrated, bright flavors of blood orange, peach, apricot, mango and spice. Strong minerality follows through to a long, precise, juicy finish.",Alsace One,91,13.0,Alsace,Alsace,,Pierre Sparr 2008 Alsace One White (Alsace),White Blend,Pierre Sparr
44576,44576,Italy,"Heady scents of forest floor, ripe berry, fragrant blue flower, grilled herb and a whiff of eucalyptus emerge on this superb wine. The elegantly structured palate offers juicy wild cherry, black raspberry, star anise, mint and baking spice while well-integrated tannins provide the framework. Balanced and already approachable, it also shows good mid-term aging potential. Drink through 2026.",,95,74.0,Tuscany,Brunello di Montalcino,,Conti Costanti 2011  Brunello di Montalcino,Sangiovese,Conti Costanti
80050,80050,US,"Harvested late but not sweet, this decadently rich and fruity wine pairs well with cheese or an equally opulent dish such as osso bucco or red wine risotto. It has grapey, jammy aromas and late-picked flavors like fig, plum and black raisin that glide along the palate. The alcohol is high, tempered by a velvety texture and moderate tannins.",Mazzoni-Live Oak,92,34.0,California,Contra Costa County,Central Coast,Three 2014 Mazzoni-Live Oak Zinfandel (Contra Costa County),Zinfandel,Three
70530,70530,France,"It's impressive how much honey flavor laced with lemon acidity there is in this wine. The pairing gives the sweetness a wonderful focus, coming to a point of freshness, leaving a delicious, lifted aftertaste. Age for 4–6 years.",Vorbourg Grand Cru Vendanges Tardives,92,94.0,Alsace,Alsace,,René Muré 2009 Vorbourg Grand Cru Vendanges Tardives Riesling (Alsace),Riesling,René Muré
51375,51375,US,"This vintage has the Horiuchi artist label. Another glorious wine from the 2007 vintage, full and forward, packed with plum and purple fruits. Sweet tobacco and baking spices lead into a lush, fruit-loaded core, ripe with berries and plums. The finish—thick and textural and darkly chocolaty—wraps around polished, elegant tannins.",,94,35.0,Washington,Columbia Valley (WA),Columbia Valley,àMaurice 2007 Red (Columbia Valley (WA)),Red Blend,àMaurice
80571,80571,US,"The Hope Family Wines' blend of 50% Marsanne and 50% Viognier offers aromas of ripe melon, smoked lemon rinds, apple custard and roasted chicken on the nose. Creamy flavors of ripe apple and pear are cut with a clean space of lemony acidity in this rich white wine that could handle a variety of food.",,87,24.0,California,Central Coast,Central Coast,Treana 2013 White (Central Coast),Rhône-style White Blend,Treana
98606,98606,Spain,"Grapefruit, peach and flowery aromas amount to a pleasant wine. This varietal Macabeo feels oily but it also has citric snap. Pineapple, grapefruit and salty flavors finish lemony fresh.",Blanco,86,9.0,Levante,Jumilla,,Casa de la Ermita 2016 Blanco Macabeo (Jumilla),Macabeo,Casa de la Ermita
85599,85599,US,"This wine is a blend of Cabernet Sauvignon (58%), Malbec (22%) and Merlot. Aromas of blue and red fruit and spice lead to tart, broad fruit flavors that winnow somewhat toward the finish. Still, it brings a lot of enjoyment.",Mike's Reserve,88,20.0,Washington,Columbia Valley (WA),Columbia Valley,Latah Creek NV Mike's Reserve Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Latah Creek
35817,35817,Italy,"This charming sparkler is made exclusively with Chardonnay grapes, and offers delicate aromas of walnut, Golden Delicous apples and a hint of baked bread, all of which carry over to the palate. It's crisp and frothy, with a clean, nutty finish.",Brut,88,24.0,Northeastern Italy,Trento,,Ferrari NV Brut Chardonnay (Trento),Chardonnay,Ferrari
10805,10805,US,"Reductive aromas distract from the fruit and barrel notes in this wine. The palate brings medium-bodied, mouth-puckering cranberry and cherry flavors. Vanilla notes linger on the finish.",Falcon Series Estate,85,25.0,Washington,Yakima Valley,Columbia Valley,Kestrel 2013 Falcon Series Estate Sangiovese (Yakima Valley),Sangiovese,Kestrel
61384,61384,US,"Spicy, lemony acidity balances out a classic barrel imprint of oakiness and toast in this medium-bodied, concentrated wine. Silky-smooth on the palate, it rewards patience in the glass and will pair well with rich, creamy foods.",Damaris Reserve,91,35.0,California,Sonoma Coast,Sonoma,Landmark 2014 Damaris Reserve Chardonnay (Sonoma Coast),Chardonnay,Landmark
121752,121752,Spain,"Plum and raspberry aromas are honest and pleasant. This is fruity and plummy on first take, but soon it becomes narrow and acidic, with tart, shrill berry and plum flavors that finish juicy and angular, then bitter.",El Circo Equilibrista,83,8.0,Northern Spain,Cariñena,,Grandes Vinos y Viñedos 2013 El Circo Equilibrista Cariñena (Cariñena),Carineña,Grandes Vinos y Viñedos
126083,126083,US,"This easy-drinking Cabernet has flavors of blackberry jam and toast, wrapped into firm tannins. It won't improve with age, so drink up with a juicy burger.",,84,20.0,California,California,California Other,Acronym 2012 Cabernet Sauvignon (California),Cabernet Sauvignon,Acronym
63564,63564,US,"Vanilla, black-cherry soda and a berry crème brûlée character combine for a very playful and fun nose on this bottling. The palate tightens up that fun a bit but stays sexy, offering dark chocolate, red-berry jam and a shred of mint.",Soul Shaker Cass Vineyard,90,64.0,California,Paso Robles,Central Coast,Ascension Cellars 2012 Soul Shaker Cass Vineyard Red (Paso Robles),Bordeaux-style Red Blend,Ascension Cellars
64181,64181,Italy,"Many 2000 Barolos are showing signs of retreating into their shells, none more so than this. This was initially very dumb, and only after a good deal of swirling and plenty of time in the glass did it begin to show anything. At last, dark fruit,  earth, rose petal and road tar began to emerge. On the palate it was tannic and again took its time to open, but again it showed some complexity, with a medium finish. A wine that needs a decade in the cellar.",Vigneto Boscareto,90,79.0,Piedmont,Barolo,,Beni di Batasiolo 2000 Vigneto Boscareto  (Barolo),Nebbiolo,Beni di Batasiolo
76630,76630,US,"Vinified in stainless and left on the lees for six months, this wine sets its tasty, lime-inflected fruit against refreshing minerality. It's a bold, assertive style, with a lovely citrusy core.",,90,14.0,Oregon,Willamette Valley,Willamette Valley,Lujon 2015 Pinot Gris (Willamette Valley),Pinot Gris,Lujon
3356,3356,US,"Dusty in tannins and planky in wood, this chewy red blends Cabernet Sauvignon, Syrah, Merlot and Malbec into a mouthful of black olive, black currant and leather.",Jillian's Blend,84,44.0,California,Napa Valley,Napa,Laird 2011 Jillian's Blend Red (Napa Valley),Red Blend,Laird
70312,70312,US,"This young Pinot Noir is difficult and challenging. It's all acidity, cherries and pomegranates, tightly wound and aloof, giving little of itself. Yet there's enormous promise. The color is pale for a California Pinot, the alcohol is modest, and there are tantalizing hints of herbs, minerals, forest undergrowth, mushrooms, cedar, truffles. All indications suggest that this is a seriously ageable wine. Cellar until at least 2015.",MoDa,93,90.0,California,Anderson Valley,,Standish 2009 MoDa Pinot Noir (Anderson Valley),Pinot Noir,Standish
40167,40167,US,"From all-estate fruit, this dives into experimentation with 85% whole cluster fermentation and native yeast. The results are mixed, giving herbal and white pepper accents to the bright red-berry flavors, but putting a bitter edge on the tannins. A couple more years of bottle age would be a good idea. It's too young to show its best at the moment.",Trajet Reserve,91,80.0,Oregon,Chehalem Mountains,Willamette Valley,Le Cadeau 2014 Trajet Reserve Pinot Noir (Chehalem Mountains),Pinot Noir,Le Cadeau
102627,102627,US,"The winery held this back for four years before releasing it. While it's dry and silky on the palate, it has raisiny flavors, and a touch of volatile acidity.",,81,42.0,California,Sonoma Coast,Sonoma,La Rochelle 2009 Pinot Noir (Sonoma Coast),Pinot Noir,La Rochelle
99503,99503,US,"Made from Cabernet Sauvignon and Petite Sirah, with slightly more of the former. It hinges on large swathes of barbecue smokiness and heaping grilled meat, with a baseline of licorice and vanilla-laced tannin that can sometimes overwhelm.",Super Cuvee Lot 95,85,30.0,California,Napa Valley,Napa,Ninety+ 2013 Super Cuvee Lot 95 Red (Napa Valley),Red Blend,Ninety+
8458,8458,Italy,"This wine's most outstanding quality is the elegant and delicate manner with which the bouquet slowly reveals itself. This vineyard-designate wine is a traditional blend of Sangiovese and Canaiolo, opening with subtle aromas of red cherry, dried violet, moist earth, vanilla and cured meat.",Rubesco Riserva Vigna Monticchio,92,57.0,Central Italy,Torgiano,,Lungarotti 2007 Rubesco Riserva Vigna Monticchio Red (Torgiano),Red Blend,Lungarotti
8623,8623,France,"One of a pair of single variety rosés from Eric Poli, this is crisp, with an earthy edge typical of this grape. Its red currant fruit and acidity offer a delicious, refreshing contrast. Drink now.",Sciaccarellu,86,16.0,France Other,Ile de Beauté,,Domaine Poli 2016 Sciaccarellu Rosé (Ile de Beauté),Rosé,Domaine Poli
48302,48302,US,"Good and dry, with a firm scour of acidity and an earthiness to the pineapples and pears. This is a fine everyday Chardonnay at a fair price.",,85,11.0,California,California,California Other,Gnarly Head 2009 Chardonnay (California),Chardonnay,Gnarly Head
4877,4877,US,"Slightly sour and funky in earth, this is a restrained white aged in a majority of stainless steel, in addition to smaller percentages of oak and acacia. Crisp and minerally, marked by stone fruit as well as citrus, it finishes rich in caramel and vanilla.",,87,38.0,California,Coombsville,Napa,Prime 2013 Chardonnay (Coombsville),Chardonnay,Prime
42908,42908,Argentina,"Light, transparent and candied with underdeveloped, boring flavors and a mild chemical harshness. Barely worth a look. 40,000 cases produced.",Estate Bottled,80,8.0,Mendoza Province,Mendoza,,Rio Seco 2007 Estate Bottled Malbec (Mendoza),Malbec,Rio Seco
91804,91804,US,"This winery has been working for years with Barbera, but it's a tough grape to perfect in California. This shows the variety's rustic side, with briary flavors of wild berries and thick tannins. It's also sweet on the finish, like a simple Port.",J&S; Reserve,83,28.0,California,Amador County,Sierra Foothills,Scott Harvey 2005 J&S; Reserve Barbera (Amador County),Barbera,Scott Harvey
111880,111880,Argentina,"Not bad for basic Argentine Chardonnay. The nose has banana and tropical fruit aromas to go with dried hay, while the soft-bodied palate has enough acidity to keep it flowing. Flavors of melon, banana and vanilla are solid even though it flattens out and shows mild bitterness on the finish.",,85,9.0,Mendoza Province,Mendoza,,Finca La Niña 2009 Chardonnay (Mendoza),Chardonnay,Finca La Niña
50879,50879,Italy,"Aromas of violet, blackberry and baking spice take center stage. The chewy, concentrated palate offers plum, mature black cherry, ground pepper and clove alongside firm, fine-grained tannins. Drink through 2018.",Taber Riserva,90,48.0,Northeastern Italy,Alto Adige,,Cantina Santa Maddalena 2011 Taber Riserva Lagrein (Alto Adige),Lagrein,Cantina Santa Maddalena
50572,50572,France,"This wine shows ample weight and concentration for a rosé. Bold, berry-scented aromas lead into similar flavors on the palate, joined by a hint of white chocolate. The texture is silky, lingering gently on the long finish. Drink up over the next few months.",Reméage Rosé de,90,20.0,France Other,Vin de France,,Les Vins de Vienne 2012 Reméage Rosé de Syrah (Vin de France),Syrah,Les Vins de Vienne
77706,77706,Argentina,"The bouquet resembles fresh apple cider. There's more apple and the addition of citrus on the palate, while the finish is ripe, fruity and soft. More chunky than upright.",Finca La Escondida Reserva,83,12.0,Other,San Juan,,Andean 2006 Finca La Escondida Reserva Chardonnay (San Juan),Chardonnay,Andean
22080,22080,US,"Soft with cranberry and red currant accents, this fairly priced wine is subtle in tannin and oak, with a core of succulent black cherry and clove flavor. Approachable and round on the palate, it's a good choice for big gatherings.",,88,20.0,California,Alexander Valley,Sonoma,Kicker Cane 2014 Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Kicker Cane
105540,105540,Italy,"Slightly fizzy and incredibly fragrant, this radiant sparkler boasts heady scents of honeysuckle, lemon blossom and white stone fruit. The crisp dry palate delivers green apple, Bartlett pear, citrus zest and a saline note alongside vibrant acidity and lightly foaming bubbles. Fermented in the bottle, it has some sediment at the bottom that adds flavor and complexity.",Col Fondo,92,25.0,Veneto,Asolo Prosecco Superiore,,Case Paolin NV Col Fondo  (Asolo Prosecco Superiore),Glera,Case Paolin
